Expenses_Date,Expenses_Amount,Expenses_Description,Expenses_Category,Day_Type
22/04/2025,35.00,Water,Week 4 (20-30),School
22/04/2025,430.00,Food,Week 4 (20-30),School
23/04/2025,566.00,Food,Week 4 (20-30),Regular
23/04/2025,398.00,Transpo,Transportation,Regular
23/04/2025,85.00,Play,School,Regular
24/04/2025,880.00,Meralco Load,Power Bill,School
24/04/2025,200.00,Fan,Personal,School
24/04/2025,100.00,Food,Week 4 (20-30),School
24/04/2025,149.00,Subs ,Personal,School
25/04/2025,433.00,Food,Week 4 (20-30),School
25/04/2025,115.00,Transpo,Transportation,School
25/04/2025,100.00,Earphone ,Personal,School
26/04/2025,"1,430.00",DTF ,Personal,Weekend
27/04/2025,270.00,Transpo,Transportation,Weekend
27/04/2025,478.00,Food,Week 4 (20-30),Weekend
27/04/2025,200.00,Laundry,Laundry,Weekend
28/04/2025,50.00,KTV,Personal,School
28/04/2025,465.00,Food,Week 4 (20-30),School
29/04/2025,225.00,Water Bill,Water Bill,School
29/04/2025,481.00,Food,Week 4 (20-30),School
30/04/2025,50.00,Transpo,Transportation,Regular
30/04/2025,233.00,Food,Week 4 (20-30),Regular
30/04/2025,75.00,Spotify,Personal,Regular
01/05/2025,430.00,Food,Week 1 (1-10),Regular
01/05/2025,100.00,Load,Personal,Regular
02/05/2025,75.00,Food,Week 1 (1-10),School
02/05/2025,232.00,Move It,Transportation,School
03/05/2025,179.00,Food,Week 1 (1-10),Weekend
03/05/2025,510.00,Move It,Transportation,Weekend
03/05/2025,400.00,Internet Bill,Internet Bill,Weekend
04/05/2025,180.00,Transpo,Transportation,Weekend
04/05/2025,"1,078.00",Grocery,Grocery,Weekend
04/05/2025,135.00,Food,Week 1 (1-10),Weekend
05/05/2025,25.00,Pen,School,School
05/05/2025,450.00,Food,Week 1 (1-10),School
06/05/2025,285.00,Volleyball,Personal,School
06/05/2025,285.00,Food,Week 1 (1-10),School
07/05/2025,"8,000.00",Tuition Payment,Tuition,Regular
07/05/2025,200.00,Laundry,Laundry,Regular
07/05/2025,590.00,Food,Week 1 (1-10),Regular
07/05/2025,300.00,Meralco Load,Power Bill,Regular
08/05/2025,100.00,UAAP Ticket,School,School
08/05/2025,200.00,Food,Week 1 (1-10),School
08/05/2025,100.00,Load,School,School
08/05/2025,65.00,KTV,Personal,School
09/05/2025,792.00,Food,Week 1 (1-10),School
10/05/2025,158.00,Food,Week 1 (1-10),Weekend
10/05/2025,115.00,Transpo,Transportation,Weekend
11/05/2025,260.00,Transpo,Transportation,Weekend
11/05/2025,40.00,Print,Personal,Weekend
11/05/2025,331.00,Food,Week 2 (12-17),Weekend
12/05/2025,200.00,Food,Week 2 (12-17),School
12/05/2025,50.00,Transpo,Transportation,School
13/05/2025,220.00,Food,Week 2 (12-17),School
13/05/2025,60.00,Transpo,Transportation,School
13/05/2025,500.00,Meralco Load,Power Bill,School
14/05/2025,395.00,Food,Week 2 (12-17),Regular
14/05/2025,320.00,Transpo,Transportation,Regular
15/05/2025,280.00,Food,Week 2 (12-17),School
16/05/2025,305.00,Food,Week 2 (12-17),School
17/05/2025,482.00,Transpo,Transportation,Weekend
17/05/2025,61.00,Food,Week 2 (12-17),Weekend
18/05/2025,301.00,Food,Week 3 (18-24),Weekend
18/05/2025,71.00,Transpo,Transportation,Weekend
19/05/2025,370.00,Food,Week 3 (18-24),School
19/05/2025,130.00,Food,Week 3 (18-24),School
19/05/2025,349.00,Loklok Subscription ,Personal,School
17/05/2025,200.00,Laundry,Laundry,Weekend
20/05/2025,278.00,Food,Week 3 (18-24),School
20/05/2025,330.00,Meralco Load,Power Bill,School
21/05/2025,195.00,Food,Week 3 (18-24),Regular
22/05/2025,355.00,Food,Week 3 (18-24),School
22/05/2025,180.00,KTV,Personal,School
23/05/2025,230.00,Food,Week 3 (18-24),School
23/05/2025,160.00,Transpo,Transportation,School
25/05/2025,35.00,Print + Pen,School,Weekend
25/05/2025,302.00,Grocery ,Grocery,Weekend
25/05/2025,60.00,Transpo,Transportation,Weekend
25/05/2025,70.00,Food,Week 4 (25-31) ,Weekend
26/05/2025,260.00,Food,Week 4 (25-31) ,School
26/05/2025,60.00,KTV,Personal,School
27/05/2025,310.00,Food,Week 4 (25-31) ,School
27/05/2025,220.00,Meralco Load,Power Bill,School
28/05/2025,210.00,Food,Week 4 (25-31) ,Regular
28/05/2025,400.00,Laundry ,Laundry,Regular
29/05/2025,85.00,Food,Week 4 (25-31) ,School
29/05/2025,545.00,LazPay Later,Personal,School
31/05/2025,380.00,Food,Week 4 (25-31) ,Weekend
01/06/2025,200.00,Chill,Personal,Weekend
01/06/2025,210.00,Move It,Transportation,Weekend
01/06/2025,441.00,Food,Week 1 (1-7),Weekend
01/06/2025,149.00,Subs,Personal,Weekend
02/06/2025,75.00,Spotify Subs,Personal,School
02/06/2025,400.00,Wifi,Internet Bill,School
02/06/2025,313.00,Food,Week 1 (1-7),School
02/06/2025,70.00,Test gym,Personal,School
03/06/2025,275.00,Food,Week 1 (1-7),School
03/06/2025,35.00,Water,Personal,School
03/06/2025,50.00,Bark Membership Fee,School,School
04/06/2025,450.00,Food,Week 1 (1-7),Regular
04/06/2025,340.00,Water Bill,Water Bill,Regular
05/06/2025,240.00,Food,Week 1 (1-7),School
05/06/2025,35.00,Transpo,Transportation,School
05/06/2025,160.00,Move It,Transportation,School
07/06/2025,478.00,Food,Week 1 (1-7),Weekend
07/06/2025,100.00,Transpo,Transportation,Weekend
07/06/2025,170.00,Subscription ,Personal,Weekend
09/06/2025,110.00,Transpo,Transportation,School
09/06/2025,130.00,Hair Cut,Personal,School
09/06/2025,200.00,Laundry,Laundry,School
10/06/2025,397.00,Food,Week 2 (8-14),School
10/06/2025,360.00,KTV,Personal,School
11/06/2025,200.00,Meralco Load,Power Bill,Regular
11/06/2025,130.00,Transpo,Transportation,Regular
11/06/2025,142.00,Print and Paper,School,Regular
11/06/2025,"1,500.00",H&M,Personal,Regular
12/06/2025,"1,000.00",Pants,Personal,Regular
12/06/2025,"1,399.00",Powerbank,Personal,Regular
12/06/2025,600.00,Laptop Charging Cable,Personal,Regular
12/06/2025,264.00,Coco + Food,Week 2 (8-14),Regular
12/06/2025,183.00,Transpo,Transportation,Regular
13/06/2025,165.00,Subs,Personal,School
13/06/2025,"1,600.00",Tuition Payment ,Tuition,School
14/06/2025,181.00,Food ,Week 2 (8-14),Weekend
14/06/2025,550.00,Meralco Load,Power Bill,Weekend
15/06/2025,588.00,Food,Personal,Weekend
15/06/2025,155.00,LRT + Move It,Transportation,Weekend
15/06/2025,200.00,Photobooth,Personal,Weekend
17/06/2025,379.00,Food,Week 3 (15-21),School
17/06/2025,22.00,Transpo,Transportation,School
17/06/2025,210.00,Move It,Transportation,School
19/06/2025,115.00,Transpo,Transportation,School
19/06/2025,390.00,Cinema,Personal,School
19/06/2025,430.00,Bag,Personal,School
19/06/2025,200.00,Laundry,Laundry,School
19/06/2025,300.00,Netflix,Personal,School
20/06/2025,68.00,Food,Week 3 (15-21),Regular
20/06/2025,200.00,Move It + LRT,Transportation,Regular
20/06/2025,420.00,Kape,Week 3 (15-21),Regular
22/06/2025,65.00,Transpo,Transportation,Weekend
23/06/2025,338.00,Food,Week 4 (22-30),Regular
24/06/2025,200.00,Drinks,Week 4 (22-30),Regular
24/06/2025,559.00,Food,Week 4 (22-30),Regular
25/06/2025,200.00,Gas,Transportation,Regular
25/06/2025,300.00,Transpo,Transportation,Regular
25/06/2025,180.00,Food,Week 4 (22-30),Regular
25/06/2025,170.00,Move It,Transportation,Regular
26/06/2025,115.00,Subscription ,Personal,Regular
28/06/2025,110.00,Food,Week 4 (22-30),Weekend
29/06/2025,700.00,Lazada,Personal,Weekend
29/06/2025,565.00,Food,Week 4 (22-30),Weekend
29/06/2025,50.00,Transpo ,Transportation,Weekend
30/06/2025,"2,650.00",AF Key FOB,Personal,Regular
30/06/2025,"1,500.00",AF Personal Trainer,Personal,Regular
30/06/2025,130.00,Transpo,Transportation,Regular
30/06/2025,330.00,Move It,Transportation,Regular
30/06/2025,50.00,Gatorade,Week 4 (22-30),Regular
30/06/2025,"6,500.00",June Rent,June Rent,Regular
01/07/2025,290.00,Move It,Transportation,Regular
02/07/2025,341.00,Move It,Transportation,Regular
02/07/2025,193.00,Grab,Transportation,Regular
02/07/2025,548.00,Chill,Personal,Regular
03/07/2025,384.00,Food,Week 1 (1-5),Regular
03/07/2025,167.00,Transpo,Transportation,Regular
03/07/2025,52.00,Play,Personal,Regular
04/07/2025,86.00,Spotify Sub,Personal,Regular
01/07/2025,480.00,Water Bill,Water Bill,Regular
01/07/2025,"6,500.00",July Rent,July Rent,Regular
01/07/2025,400.00,Wifi Bill,Internet Bill,Regular
04/07/2025,385.00,Cake,School,Regular
04/07/2025,170.00,Transpo ,Transportation,Regular
04/07/2025,160.00,KTV,Personal,Regular
05/07/2025,230.00,Move It,Transportation,Weekend
05/07/2025,330.00,Food,Week 1 (1-5),Weekend
07/07/2025,255.00,Food,Week 2 (6-12),Regular
07/07/2025,210.00,Transpo,Transportation,Regular
08/07/2025,180.00,Transpo ,Transportation,Regular
08/07/2025,200.00,Food,Week 2 (6-12),Regular
08/07/2025,200.00,Laundry,Laundry,Regular
08/07/2025,135.00,Food,Week 2 (6-12),Regular
08/07/2025,180.00,Food,Week 2 (6-12),Regular
10/07/2025,185.00,Transpo,Transportation,Regular
09/07/2025,200.00,Jam,Personal,Regular
10/07/2025,318.00,Food,Week 2 (6-12),Regular
11/07/2025,113.00,Transpo ,Transportation,Regular
13/07/2025,271.00,Transpo,Transportation,Weekend
13/07/2025,327.00,Food,Week 2 (6-12),Weekend
13/07/2025,60.00,Play,Personal,Weekend
14/07/2025,190.00,Transpo,Transportation,Regular
18/07/2025,265.00,Capcut Sub,Personal,Regular
18/07/2025,110.00,Transpo ,Transportation,Regular
18/07/2025,126.00,Food,Week 3 (13-19),Regular
19/07/2025,115.00,Transpo ,Transportation,Weekend
19/07/2025,90.00,Food,Week 3 (13-19),Weekend
20/07/2025,110.00,Transpo,Transportation,Weekend
20/07/2025,720.00,Prep Meal,Personal,Weekend
20/07/2025,175.00,Food,Week 4 (20-26),Weekend
22/07/2025,460.00,MOA,Personal,School
22/07/2025,209.00,Food,Week 4 (20-26),School
22/07/2025,135.00,Transpo ,Transportation,School
23/07/2025,70.00,Food,Week 4 (20-26),School
15/07/2025,135.00,Bus,Transportation,School
26/07/2025,360.00,Food,Week 4 (20-26),School
26/07/2025,325.00,Food,Week 4 (20-26),School
25/07/2025,70.00,Ukay,Personal,School
27/07/2025,285.00,Transpo,Transportation,Weekend
27/07/2025,225.00,Food,Week 5 (27-31),Weekend
27/07/2025,60.00,Play,Personal,Weekend
28/07/2025,550.00,Meralco Load,Power Bill,Regular
28/07/2025,200.00,Laundry,Laundry,Regular
28/07/2025,"1,000.00",Grocery,Grocery,Regular
29/07/2025,85.00,Coffee,Week 5 (27-31),School
29/07/2025,176.00,School,School,School
30/07/2025,74.00,Food,Week 5 (27-31),School
30/07/2025,75.00,Spotify ,Personal,School
31/07/2025,590.00,LazPay Later,Personal,Regular
31/07/2025,"2,450.00",Gym Payment,Gym,Regular
31/07/2025,50.00,Transpo,Transportation,Regular
31/07/2025,110.00,Coco,Week 5 (27-31),Regular
18/07/2025,"6,100.00",Tuition Payment,Tuition,School
31/07/2025,180.00,Transpo ,Transportation,Regular
01/08/2025,"6,500.00",Aug Rent,Aug Rent,School
01/08/2025,120.00,Water,Water Bill,School
01/08/2025,400.00,Wifi,Internet Bill,School
01/08/2025,200.00,Food,Week 1 (1-9),School
01/08/2025,424.00,Food,Week 1 (1-9),School
01/08/2025,100.00,LBC + PRINT,School,School
02/08/2025,90.00,Food,Week 1 (1-9),School
02/08/2025,188.00,Transpo,Transportation,School
03/08/2025,494.00,Food,Week 1 (1-9),Weekend
04/08/2025,255.00,Transpo,Transportation,Regular
04/08/2025,60.00,Transpo,Transportation,Regular
04/08/2025,178.00,Food,Week 1 (1-9),Regular
04/08/2025,400.00,Gala,Personal,Regular
05/08/2025,80.00,Food,Week 1 (1-9),School
06/08/2025,205.00,Transpo,Transportation,School
06/08/2025,700.00,Food,Week 1 (1-9),School
08/08/2025,105.00,Food,Week 1 (1-9),School
09/08/2025,75.00,Food,Week 1 (1-9),School
09/08/2025,625.00,Treat,Personal,School
09/08/2025,115.00,Transpo,Transportation,School
10/08/2025,50.00,Transpo,Transportation,Weekend
11/08/2025,250.00,Battery,Personal,Regular
11/08/2025,535.00,Food,Week 2 (10-16),Regular
11/08/2025,86.00,Transpo,Transportation,Regular
12/08/2025,26.00,Transpo,Transportation,School
12/08/2025,170.00,Food,Week 2 (10-16),School
12/08/2025,200.00,Laundry,Laundry,School
13/08/2025,25.00,ID Holder,School,School
13/08/2025,367.00,Food,Week 2 (10-16),School
14/08/2025,130.00,Haircut,Personal,Regular
14/08/2025,75.00,Food,Week 2 (10-16),Regular
15/08/2025,117.00,Food for Panelists,School,School
16/08/2025,320.00,Food,Week 2 (10-16),School
16/08/2025,251.00,Food,Week 2 (10-16),School
16/08/2025,23.00,Transpo,Transportation,School
17/08/2025,130.00,Transpo,Transportation,Weekend
17/08/2025,175.00,Food,Week 2 (10-16),Weekend
18/08/2025,100.00,Shot ,Personal,Regular
18/08/2025,523.00,Food,Week 3 (17-23),Regular
18/08/2025,60.00,Transpo,Transportation,Regular
18/08/2025,"1,015.00",Grocery,Grocery,Regular
19/08/2025,72.00,Transpo ,Transportation,School
20/08/2025,20.00,Ballpen,School,School
20/08/2025,251.00,Food,Week 3 (17-23),School
20/08/2025,484.00,Food,Week 3 (17-23),School
20/08/2025,170.00,Transpo ,Transportation,School
20/08/2025,200.00,Laundry,Laundry,School
21/08/2025,160.00,Transpo,Transportation,Regular
21/08/2025,500.00,Cinema,Personal,Regular
23/08/2025,45.00,Transpo,Transportation,School
25/08/2025,60.00,Transpo ,Transportation,Regular
25/08/2025,310.00,Food,Week 4 (24-31),Regular
25/08/2025,550.00,Meralco Load,Power Bill,Regular
26/08/2025,575.00,Food,Week 4 (24-31),School
26/08/2025,195.00,Meds,Personal,School
27/08/2025,400.00,Photobooth,Personal,School
27/08/2025,51.00,Transpo,Transportation,School
27/08/2025,225.00,MOA something,Personal,School
27/08/2025,322.00,Food,Week 4 (24-31),School
27/08/2025,60.00,KTV,Personal,School
28/08/2025,99.00,Subs,Personal,Regular
29/08/2025,447.00,LazPay Later,Personal,School
29/08/2025,362.00,Food,Week 4 (24-31),School
30/08/2025,75.00,Spotify,Personal,School
30/08/2025,125.00,Transpo ,Transportation,School
29/08/2025,200.00,Drinks,Personal,School
30/08/2025,"2,450.00",Gym Membership ,Gym,School
30/08/2025,115.00,Food,Week 4 (24-31),School
31/08/2025,245.00,Jabi,Week 4 (24-31),Weekend
01/09/2025,200.00,Water Bill,Water Bill,Regular
01/09/2025,725.00,Consensus Subs,School,Regular
01/09/2025,400.00,Internet Bill,Internet Bill,Regular
01/09/2025,60.00,Transpo,Transportation,Regular
01/09/2025,430.00,Food,Week 1 (1-6),Regular
02/09/2025,175.00,Food,Week 1 (1-6),School
02/09/2025,92.00,Transpo,Transportation,School
02/09/2025,"6,500.00",August Rent to BPI,August Rent,School
02/09/2025,"2,000.00",Payment to Paps,Arnold Payment,School
03/09/2025,940.00,Drinks,Personal,School
03/09/2025,50.00,Transpo,Transportation,School
03/09/2025,305.00,Food,Week 1 (1-6),School
04/09/2025,115.00,Food,Week 1 (1-6),Regular
04/09/2025,180.00,KTV,Personal,Regular
04/09/2025,260.00,Shot,Personal,Regular
04/09/2025,130.00,Transpo,Transportation,Regular
05/09/2025,565.00,Food,Week 1 (1-6),School
06/09/2025,85.00,Transpo ,Transportation,School
06/09/2025,135.00,Food,Week 1 (1-6),School
06/09/2025,200.00,Payong,Personal,School
06/09/2025,95.00,Transpo ,Transportation,School
08/09/2025,65.00,Transpo,Transportation,Regular
08/09/2025,110.00,Food,Week 2 (7-13),Regular
09/09/2025,"1,528.00",Grocery ,Grocery,School
10/09/2025,200.00,Laundry,Laundry,School
10/09/2025,165.00,Food,Week 2 (7-13),School
10/09/2025,99.00,Gizmo,School,School
01/09/2025,"6,500.00",Sept Rent,Sept Rent,Regular
11/09/2025,540.00,Food,Week 2 (7-13),Regular
12/09/2025,500.00,Drinks,Personal,School
12/09/2025,415.00,Food,Week 2 (7-13),School
13/09/2025,90.00,Food,Week 2 (7-13),School
13/09/2025,162.00,Transpo ,Transportation,School
14/09/2025,"1,250.00",WCH Tix,Personal,Weekend
15/09/2025,300.00,Food,Week 3 (14-20),Regular
15/09/2025,70.00,Transpo ,Transportation,Regular
16/09/2025,529.00,Gcash Loan,Personal,School
16/09/2025,447.00,LazPay Later,Personal,School
16/09/2025,276.00,Food,Week 3 (14-20),School
17/09/2025,344.00,Food,Week 3 (14-20),School
18/09/2025,550.00,Meralco Load,Power Bill,Regular
18/09/2025,200.00,Laundry,Laundry,Regular
18/09/2025,429.00,Food,Week 3 (14-20),Regular
18/09/2025,45.00,Transpo,Transportation,Regular
19/09/2025,320.00,Food,Week 3 (14-20),School
20/09/2025,245.00,Food,Week 3 (14-20),School
21/09/2025,774.00,Transpo,Transportation,Weekend
22/09/2025,200.00,Drinks,Personal,Regular
22/09/2025,984.00,Grocery ,Grocery,Regular
22/09/2025,260.00,Transpo,Transportation,Regular
22/09/2025,156.00,Food,Week 4 (21-30),Regular
23/09/2025,395.00,Food,Week 4 (21-30),School
24/09/2025,806.00,LazPay Later + GLoan,Personal,School
25/09/2025,450.00,933 Coworking Space,School,Regular
25/09/2025,700.00,Food,Week 4 (21-30),Regular
25/09/2025,330.00,Meralco Load,Power Bill,Regular
25/09/2025,161.00,Transpo,Transportation,Regular
25/09/2025,299.00,Food,Week 4 (21-30),Regular
26/09/2025,350.00,Move It,Transportation,School
24/09/2025,500.00,Labli,Personal,School
26/09/2025,280.00,Food,Week 4 (21-30),School
28/09/2025,"1,554.00",Blake's ,Personal,Weekend
28/09/2025,149.00,Subs,Personal,Weekend
28/09/2025,330.00,Move It,Transportation,Weekend
29/09/2025,831.00,Food,Week 4 (21-30),Regular
30/09/2025,"7,000.00",Oct Tuition Payment,School,School
30/09/2025,"2,450.00",Gym Membership ,Gym,School
30/09/2025,75.00,Spotify,Personal,School
30/09/2025,95.00,Transpo,Transportation,School
30/09/2025,445.00,Food,Week 4 (21-30),School
30/09/2025,549.00,Penshoppe Polo Shirt,Personal,School
01/10/2025,200.00,Laundry,Laundry,School
01/10/2025,218.00,Food,Week 1 (1-11),School
01/10/2025,200.00,Water Bill,Water Bill,School
01/10/2025,400.00,Wifi,Internet Bill,School
02/10/2025,190.00,Food,Week 1 (1-11),Regular
03/10/2025,151.00,Transpo ,Transportation,School
03/10/2025,620.00,Drinks,Personal,School
04/10/2025,260.00,Food,Week 1 (1-11),School
04/10/2025,16.00,Print,School,School
04/10/2025,165.00,Transpo ,Transportation,School
06/10/2025,200.00,Food,Week 1 (1-11),Regular
06/10/2025,277.00,Food,Week 1 (1-11),Regular
06/10/2025,60.00,Transpo,Transportation,Regular
07/10/2025,574.00,Food,Week 1 (1-11),School
07/10/2025,11.00,Transpo ,Transportation,School
01/10/2025,720.00,Consensus Subs,School,School
08/10/2025,169.00,Loklok,Personal,School
08/10/2025,390.00,Food,Week 1 (1-11),School
09/10/2025,168.00,Transpo,Transportation,Regular
09/10/2025,"2,450.00",Gym,Gym,Regular
08/10/2025,60.00,KTV,Personal,School
10/10/2025,460.00,Food,Week 1 (1-11),School
10/10/2025,940.00,KTV,Personal,School
10/10/2025,175.00,Transpo ,Transportation,School
11/10/2025,"1,200.00",Drinks,Personal,School
12/10/2025,150.00,Transpo ,Transportation,Weekend
12/10/2025,75.00,Food,Week 2 (12-18),Weekend
12/10/2025,130.00,Haircut,Personal,Weekend
01/10/2025,"6,500.00",Oct Rent,Oct Rent,School
13/10/2025,291.00,Food,Week 2 (12-18),Regular
14/10/2025,135.00,Food ,Week 2 (12-18),School
15/10/2025,100.00,Play,Personal,School
15/10/2025,321.00,Food,Week 2 (12-18),School
15/10/2025,33.00,Transpo,Transportation,School
16/10/2025,128.00,GLoan,Personal,Regular
16/10/2025,525.00,Meralco Load ,Power Bill,Regular
16/10/2025,178.00,Food,Week 2 (12-18),Regular
17/10/2025,"1,000.00",Drinks,Personal,School
17/10/2025,164.00,Food,Week 2 (12-18),School
17/10/2025,50.00,Transpo,Transportation,School
18/10/2025,410.00,Drinks,Personal,School
18/10/2025,455.00,Food,Week 2 (12-18),School
18/10/2025,50.00,Grab,Transportation,School
18/10/2025,"1,000.00",BPI Payment ,Personal,School
19/10/2025,400.00,Laundry,Laundry,Weekend
19/10/2025,335.00,Food,Week 3 (19-25),Weekend
20/10/2025,149.00,Bumble ,Personal,Regular
20/10/2025,205.00,Food,Week 3 (19-25),Regular
21/10/2025,154.00,Move It,Transportation,School
21/10/2025,370.00,Food,Week 3 (19-25),School
22/10/2025,499.00,Food,Week 3 (19-25),School
23/10/2025,149.00,Transpo,Transportation,Regular
24/10/2025,277.00,Food,Week 3 (19-25),Regular
25/10/2025,95.00,Transpo ,Transportation,Weekend
25/10/2025,80.00,Food,Week 3 (19-25),Weekend
26/10/2025,410.00,Food,Week 4 (26-31),Weekend
27/10/2025,175.00,Transpo,Transportation,Regular
28/10/2025,136.00,Food,Week 4 (26-31),Regular
28/10/2025,750.00,Ambagan,Personal,Regular
29/10/2025,390.00,Food,Week 4 (26-31),Regular
29/10/2025,140.00,Inuman,Personal,Regular
28/10/2025,185.00,Camp ,Personal,Regular
31/10/2025,110.00,Food,Week 4 (26-31),Regular
31/10/2025,200.00,Transpo,Transportation,Regular
31/10/2025,85.00,Spotify,Personal,Regular
31/10/2025,"1,000.00",BPI Payment,Loan,Regular
31/10/2025,"1,590.00",GCash,Loan,Regular
02/11/2025,311.00,Lazada: Sports Bag,Personal,Weekend
02/11/2025,350.00,Food,Week 1 (1-8),Weekend
03/11/2025,200.00,Water Bill,Water Bill,Regular
03/11/2025,280.00,Food,Week 1 (1-8),Regular
03/11/2025,160.00,Toothbrush ,Personal,Regular
03/11/2025,"6,500.00",Nov Rent,Nov Rent,Regular
04/11/2025,338.00,Food ,Week 1 (1-8),Regular
05/11/2025,510.00,Indrive,Transportation,Regular
05/11/2025,380.00,Watson's,Personal,Regular
05/11/2025,672.00,Food,Week 1 (1-8),Regular
06/11/2025,404.00,Food,Week 1 (1-8),Regular
07/11/2025,494.00,Food,Week 1 (1-8),School
07/11/2025,100.00,Play,Personal,School
07/11/2025,222.00,Transpo,Transportation,School
07/11/2025,400.00,Wifi,Internet Bill,School
07/11/2025,515.00,Meralco Load,Power Bill,School
08/11/2025,"1,438.00",Grocery ,Grocery,School
08/11/2025,319.00,Food,Week 1 (1-8),School
08/11/2025,169.00,Loklok,Personal,School
09/11/2025,80.00,Food,Week 2 (9-15),Weekend
09/11/2025,200.00,Drinks,Personal,Weekend
10/11/2025,669.00,Food,Week 2 (9-15),Regular
11/11/2025,409.00,Food ,Week 2 (9-15),School
12/11/2025,145.00,Food,Week 2 (9-15),School
12/11/2025,200.00,Laundry,Laundry,School
13/11/2025,390.00,Food,Week 2 (9-15),Regular
13/11/2025,677.00,Soy,Personal,Regular
13/11/2025,500.00,Idk,Personal,Regular
14/11/2025,152.00,Move It,Transportation,School
14/11/2025,100.00,Play,Personal,School
14/11/2025,33.00,Transpo,Transportation,School
14/11/2025,88.00,Food,Week 2 (9-15),School
15/11/2025,609.00,Pobla,Personal,School
15/11/2025,141.00,Food,Week 2 (9-15),School
15/11/2025,320.00,Move It,Transportation,School
16/11/2025,195.00,Transpo,Transportation,Weekend
16/11/2025,450.00,Jersey,School,Weekend
18/11/2025,"6,100.00",Term 2 Reservation ,Term 2 Tuition,School
18/11/2025,54.00,CTC of Grade,School,School
18/11/2025,110.00,Food,Week 3 (16-22),School
18/11/2025,328.00,Watson,Personal,School
18/11/2025,200.00,Laundry ,Laundry,School
18/11/2025,702.00,Lazada,Personal,School
19/11/2025,756.00,Move It,Transportation,School
19/11/2025,22.00,Transpo,Transportation,School
19/11/2025,367.00,Food,Week 3 (16-22),School
19/11/2025,66.00,Play,Personal,School
20/11/2025,301.00,7/11,Personal,Regular
20/11/2025,212.00,Food,Week 3 (16-22),Regular
21/11/2025,"4,453.00",Derma,Personal,School
21/11/2025,100.00,SOA,School,School
22/11/2025,120.00,Transpo,Transportation,School
22/11/2025,290.00,Food,Week 3 (16-22),School
23/11/2025,329.00,Food,Week 3 (16-22),Weekend
24/11/2025,60.00,Transpo ,Transportation,Regular
24/11/2025,223.00,Dove Body Wash,Personal,Regular
25/11/2025,40.00,Transpo,Transportation,School
25/11/2025,230.00,Food,Week 4 (23-30),School
25/11/2025,"2,450.00",Gym Payment ,Gym,School
25/11/2025,149.00,Padlock,Personal,School
25/11/2025,330.00,Meralco Load,Power Bill,School
26/11/2025,200.00,Laundry,Laundry,School
26/11/2025,468.00,Food,Week 4 (23-30),School
27/11/2025,185.00,Food ,Week 4 (23-30),Regular
28/11/2025,460.00,Food,Week 4 (23-30),School
29/11/2025,155.00,Food,Week 4 (23-30),School
29/11/2025,100.00,Lalamove Docu,School,School
30/11/2025,205.00,LRT + Move It,Transportation,Weekend
30/11/2025,85.00,Spotify,Personal,Weekend
01/12/2025,132.00,Transpo + Move It,Transportation,Regular
02/12/2025,79.00,Move It,Transportation,School
02/12/2025,530.00,Meralco Load,Power Bill,School
02/12/2025,200.00,Water Bill,Water Bill,School
02/12/2025,784.00,Grocery,Grocery,School
02/12/2025,150.00,Food,Week 1 (1-6),School
03/12/2025,50.00,Train,Transportation,School
03/12/2025,270.00,Food,Week 1 (1-6),School
04/12/2025,35.00,Water,Week 1 (1-6),Regular
04/12/2025,200.00,Laundry,Laundry,Regular
04/12/2025,150.00,Food,Week 1 (1-6),Regular
05/12/2025,165.00,Paskulayan Merch,School,School
05/12/2025,464.00,Food,Week 1 (1-6),School
06/12/2025,280.00,LRT + Move It,Transportation,School
06/12/2025,320.00,Food,Week 1 (1-6),School
08/12/2025,60.00,Transpo,Transportation,Regular
09/12/2025,285.00,Food,Week 2 (7-13),School
09/12/2025,500.00,Derma Consultation,Personal,School
10/12/2025,169.00,Loklok Subscription,Personal,School
10/12/2025,337.00,Food,Week 2 (7-13),School
11/12/2025,95.00,Monster,Week 2 (7-13),Regular
11/12/2025,150.00,Food,Week 2 (7-13),Regular
11/12/2025,400.00,Laundry,Laundry,Regular
12/12/2025,65.00,Transpo,Transportation,School
12/12/2025,47.00,Gatorade,Week 2 (7-13),School
12/12/2025,334.00,Food,Week 2 (7-13),School
13/12/2025,110.00,Food,Week 2 (7-13),School
15/12/2025,60.00,Transpo,Transportation,Regular
16/12/2025,288.00,Exchange Gift,Personal,School
16/12/2025,340.00,Food,Week 3 (14-20),School
16/12/2025,40.00,Transpo,Transportation,School
17/12/2025,360.00,Food,Week 3 (14-20),School
16/12/2025,400.00,Wifi,Internet Bill,School
18/12/2025,290.00,Kenny Rogers,Week 3 (14-20),Regular
18/12/2025,20.00,Transpo,Transportation,Regular
18/12/2025,"2,450.00",Gym Membership,Gym,Regular
18/12/2025,200.00,Move It,Transportation,Regular
19/12/2025,191.00,Move It,Transportation,School
20/12/2025,517.00,InDrive,Transportation,School
21/12/2025,50.00,Transpo,Transportation,Weekend
21/12/2025,120.00,Food,Week 4 (21-27),Weekend
22/12/2025,"1,927.00",Chili's,Birthday,Regular
22/12/2025,273.00,InDrive,Transportation,Regular
22/12/2025,529.00,GLoan,Loan,Regular
23/12/2025,25.00,Water,Week 4 (21-31),Regular
23/12/2025,213.00,Move It,Transportation,Regular
23/12/2025,"8,000.00",Loan,Loan,Regular
