Expenses_Date,Expenses_Amount,Expenses_Description,Expenses_Category,Day_Type
22/10/2024,120.00,Food,Week 4 (20-26),School
23/10/2024,318.00,Food,Week 4 (20-26),Regular
25/10/2024,406.00,Food,Week 4 (20-26),School
25/10/2024,127.00,Study Hub,School,School
20/10/2024,500.00,Meralco Load,Power Bill,Weekend
25/10/2024,320.00,Joyride,Transportation,School
27/10/2024,60.00,Transpo,Transportation,Weekend
27/10/2024,100.00,Laundry,Laundry,Weekend
27/10/2024,474.00,Donut,Food,Weekend
28/10/2024,172.00,Gleam,Personal,School
28/10/2024,40.00,Mais con Yelo,Week 5 (27-2),School
28/10/2024,60.00,Sisig,Week 5 (27-2),School
29/10/2024,159.00,Cash,Personal,School
29/10/2024,118.00,Food,Week 5 (27-2),School
29/10/2024,199.00,Ramen + Drinks,Week 5 (27-2),School
30/10/2024,221.00,Food,Week 5 (27-2),Regular
30/10/2024,75.00,Spotify,Personal,Regular
30/10/2024,180.00,KFC,Week 5 (27-2),Regular
30/10/2024,153.00,Joyride + Grab,Transportation,Regular
31/10/2024,80.00,Transpo,Transportation,School
01/11/2024,450.00,Water Bill Paid,Water Bill,School
01/11/2024,"6,500.00",Rent for Nov,Nov Rent,School
1/11/2024,223.00,Food,Personal,School
03/11/2024,340.00,Milktea+KFC+Dinner,Personal,Weekend
03/11/2024,45.00,Transpo,Transportation,Weekend
03/11/2024,155.00,Ice Cream + Cucumber,Week 1 (3-9),Weekend
04/11/2024,371.00,Food,Week 1 (3-9),School
04/11/2024,100.00,KTV,Personal,School
05/11/2024,205.00,Brunch,Week 1 (3-9),School
06/11/2024,400.00,Ctop,Personal,Regular
06/11/2024,50.00,LRT,Transportation,Regular
06/11/2024,432.00,Shawarma,Week 1 (3-9),Regular
07/11/2024,135.00,Beep Card Load + Transpo,Transportation,Regular
07/11/2024,110.00,Milktea,Week 1 (3-9),Regular
08/11/2024,400.00,Wifi,Internet Bill,Regular
08/11/2024,50.00,Food,Week 1 (3-9),Regular
08/11/2024,50.00,Play,Personal,Regular
08/11/2024,500.00,Tuition Payment,School,Regular
09/11/2024,110.00,Ice Cream,Week 1 (3-9),Weekend
10/11/2024,192.00,Midnight Snack,Personal,Weekend
10/11/2024,300.00,Merienda,Week 2 (10-16),Weekend
11/11/2024,227.00,Lazada,Personal,Regular
11/11/2024,245.00,Food,Week 2 (10-16),Regular
12/11/2024,349.00,Jabi + Red Ribbon,Week 2 (10-16),Regular
13/11/2024,455.00,Foodie + 24 Chicken,Week 2 (10-16),Regular
14/11/2024,433.00,Chowking+7/11,Week 2 (10-16),Regular
14/11/2024,58.00,Print,School,Regular
15/11/2024,110.00,Transpo,Transportation,Regular
15/11/2024,110.00,Milktea,Personal,Regular
14/11/2024,200.00,Laundry ,Laundry,Regular
16/11/2024,50.00,Food,Week 2 (10-16),Weekend
17/11/2024,250.00,Payong,Personal,Weekend
17/11/2024,352.00,Popeyes + Macao,Week 3 (17-23),Weekend
17/11/2024,33.00,Transpo,Transportation,Weekend
18/11/2024,11.00,Transpo,Transportation,School
18/11/2024,145.00,Food,Week 3 (17-23),School
18/11/2024,40.00,Print,School,School
18/11/2024,420.00,Samg + Zus,Week 3 (17-23),School
19/11/2024,195.00,Food,Week 3 (17-23),School
20/11/2024,445.00,Food,Week 3 (17-23),Regular
20/11/2024,323.00,Transpo,Transportation,Regular
20/11/2024,45.00,Play,Personal,Regular
20/11/2024,"6,300.00",T2 TF Payment ,School,Regular
20/11/2024,45.00,Bank Transfer Fee,School,Regular
21/11/2024,208.00,Food,Week 3 (17-23),School
22/11/2024,100.00,Laundry,Laundry,School
23/11/2024,173.00,Food,Week 3 (17-23),Weekend
23/11/2024,200.00,Move It,Transportation,Weekend
23/11/2024,25.00,Transpo,Transportation,Weekend
24/11/2024,200.00,Beep Card Load,Transportation,Weekend
24/11/2024,216.00,UJ + 7/11,Week 4 (25-30),Weekend
25/11/2024,985.00,Grocery,Grocery,School
25/11/2024,154.00,DOST Reqs,School,School
25/11/2024,50.00,KTV,Week 4 (25-30),School
25/11/2024,230.00,Ice Cream + Winx,Week 4 (25-30),School
26/11/2024,257.00,Food,Week 4 (25-30),School
27/11/2024,465.00,Food,Week 4 (25-30),Regular
27/11/2024,80.00,Tryout ,School,Regular
28/11/2024,326.00,Uncle John's  + Jabi,Week 4 (25-30),School
28/11/2024,100.00,KTV,Personal,School
